


央卫咪咕,#genre#
CCTV-1综合,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=93be7f34e3db7cee73e7baf315547d
CCTV-2财经,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=f3d54c46cd3a2824b11720655902b2
CCTV-3综艺,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=df8b553b59f880476cf1b65e86776f
CCTV-4中文国际,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=e6291fb7f3ff2d0bd3eed1fa8c3ae7
CCTV-4欧洲,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=48255e355aaa683aeb527ccd2a50a3
CCTV-4美洲,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=0d013203d4b79d907499984d6f7dd6
CCTV-5体育,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=cd92f2139c244adfe478b1587a9423
CCTV-5+体育赛事,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=70419a9af3bf68098fac6fcfd4b18f
CCTV-6电影,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=589cf730655feaf60cef973ceadf8a
CCTV-7国防军事,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=3906f151208cc024378be1664adc0e
CCTV-8电视剧,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=31aca9dac6b9be9e2b3631dab7b489
CCTV-9纪录,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=6c94d3a9332bc6f8675e26d8326ad5
CCTV-10科教,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=53deaad4dfd5409fe3630a1dcb6aee
CCTV-11戏曲,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=cdcda156240839215967e22dc076e7
CCTV-12社会与法,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=ffc62217c7ef2fbe275a6fb8258357
CCTV-13新闻,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=9fe4a58a52b61888c65a3f96eb5d03
CCTV-14少儿,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=a634a6f0331d96e8ee2593a430732b
CCTV-15音乐,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=674f61c31f855864c4edeff7f9dde8
CCTV-17农业农村,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=3e9a19459503ce3f97775d2feeff41
CGTN外语,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=9a32301c0917d2c2d5d05c8c3aa2e6
CGTN-阿语,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=81d012082cc10c42a08225a0aeb530
CGTN-西语,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=87b0284bf18c97501f916f6160c4e6
CGTN-法语,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=d4104a33ae0436ce38e9a1acdca504
CGTN-俄语,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=dddd64b0b7a930d53dd783fb85d9cf
老故事,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=2110a6ed142df8cec0dcb48db88cb8
发现之旅,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=46364d7fd9bf20eabd7f518bc0da0a
中学生,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=fbd4cbb6042cc679a048512cd44009
CGTN,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=10f8ccb981cb20af186d7574d22cf1
CETV1,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=27a31d057ea648a9fc0e68a30b2285
CETV2,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=88ed7c9084464824d9b25a643ef8cf
CETV4,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=91122f07287877c3395ddb5a9f1006
东方卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=c400eda098056983fc9b97e63ced61
江苏卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=e1446449bcb9e705b31e148fd892d4
广东卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=11cc6810d5b5296e41aff101ca96e9
江西卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=0945913ad4817a84984331ac2733ff
河南卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=15d1951c7cf95f91c896de66b4b852
陕西卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=5c1a3a3790917df5318c7f1026c8f8
大湾区卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=904a54ec05513f28c867ae263d4879
湖北卫视,http://140.210.9.53:8800/SuanFaZhibo/live4/migu.php?token=1485a51631e41c268eadb293dda6c9
